Vendor, Category, Item, Item Description, Price, Origin, Destination, Rating, Remarks
MRUKSBEST,Drugs/RCs,REGGIEYATES,for 3g mephedrone.,0.16803196 BTC,UK,,5.00/5,
mssource,Drugs/RCs,2-FA...!! 20 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  2-FA    Quanty:: 20 gram  Purity:: 99 8% Powder *High Definition   ...,0.8327425085714287 BTC,World,WORLDWIDE,4.95/5,
mssource,Drugs/RCs,MDPBP...!! 5 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  MDPBP   Quanty:: 5 gram   Purity:: 99 8% HCL Powder *High Definitio ...,0.15037580083333332 BTC,World,WORLDWIDE,4.95/5,
IsolatedWarrior,Drugs/RCs,a-PVP 3.5g - substitute this for adderall meth speed (or mdpv) & pass drug tests & save $,3.5g a-PVP  use this to get high or focus or study without burning a hole in your wallet and pass your tox screens with flying colors.  personally have shipped sample to lab to verify purity.   ...,0.48922552539473674 BTC,USA,USA,4.98/5,
mssource,Drugs/RCs,2-FMA...!! 5 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  2-FMA    Quanty:: 5 gram   Purity:: 99 8% Powder *High Definition  ...,0.16921575916666665 BTC,World,WORLDWIDE,4.95/5,
FREE,Drugs/RCs,1kg. 2 FMA FREE SHIP WITH TRACK,2-Fluoromethamphetamine (2-FMA) is a stimulant drug from the amphetamine family which has rarely been found possessed as a designer drug.  This shipment is with tracking number. The shipment must b ...,8.978666883636363 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
mssource,Drugs/RCs,4F-PVP...!! 10 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  4F-PVP   Quanty:: 20 gram   Purity:: 99 8% HCL Transparent Chrystal ...,0.32800594079999995 BTC,World,WORLDWIDE,4.95/5,
mssource,Drugs/RCs,ETHYLPHENIDATE...!! 200 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  Ethylphenidate EP   Quanty:: 200 gram   Purity:: 99 8% Big Chrystal ...,4.184622727777781 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
Jack_N_Hoff,Drugs/RCs,25 gram sample of pure a-PVP crystals,25 gram sample of a-PVP CRYSTALS express shipped with tracking.  FE is required for all orders.  Orders shipped from China to USA have been taking 3 to 6 business days lately. Orders are usually  ...,0.818515073505155 BTC,China New Zealand  Russia  Finland  Germany or the Middle East.,Worldwide except Australia  New Zealand  Russia  Finland  Germany or the Middle East.,4.94/5,
mssource,Drugs/RCs,PENTYLONE...!! 500 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  Pentylone   Quanty:: 500 gram   Purity:: 99 8% Powder * High Defina ...,5.011501422333334 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
mssource,Drugs/RCs,2-MMC...!! 500 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  2-MMC   (NOTE: We also have 3-MMC  4-MMC and N-MMC in stock!)   Quanty ...,6.711073343714286 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
mssource,Drugs/RCs,MDPV...!! 20 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  MDPV   Quanty:: 20 gram   Purity:: 99 8% Powder *High Definition   ...,0.7619765395238096 BTC,World,WORLDWIDE,4.95/5,
mssource,Drugs/RCs,4-FA...!! 5 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  4-FA    Quanty:: 5 gram   Purity:: 99 8% Powder *High Definition   ...,0.18763666842105262 BTC,World,WORLDWIDE,4.95/5,
mssource,Drugs/RCs,4-MMC...!! 1 KG,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  4-MMC aka Drone  (NOTE: We also have 2-MMC and 3-MMC in stock!)   Quan ...,11.538765622 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
rainbowbear,Drugs/RCs,100 gram sample 4-FA 4-Fluoroamphetamine ( Free Shipping ),100 gram sample 4-FA 4-Fluoroamphetamine ( Free Shipping ) Must FE on all international orders. Tracking offered on 100 gram orders and up.,3.0990999334482767 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
FREE,Drugs/RCs,5gr.  4-EMC FREE SHIP WITH TRACK,This shipment is with tracking number. The shipment must be signed to receive it. In case that the track is stuck I offer 50% reship.,0.4807129725000001 BTC,China,,5.00/5,
ChinaChem,Drugs/RCs,Custom Listing Ethylone 1000g E1 mdec,WE HAVE 2 KINDS OF ETHYLONE. PLEASE CHOOSE ONE: https://www.anonimg.com/img/1f2a6149c563843d11e77421f9b75bfd.png  FULL ESCROW RESHIP POLICY ON OUR PROFILE PAGE!  This listing is only for trusted ...,8.446939105752204 BTC,China,Worldwide,5.00/5,Average price may be skewed outliar > .5 BTC found
FREE,Drugs/RCs,100gr. 6-MAPB FREE SHIP WITH TRACK,This shipment is with tracking number. The shipment must be signed to receive it. In case that the track is stuck I offer 50% reship.,3.6053473263888884 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
ChinaChem,Drugs/RCs,Sample Pentedrone,Description  Product information Pentedrone:  CAS number: 879669-95-1  Formula: C12H18CLNO  Purity(HPLC): 99.5%  Characteristics: White crystalline powder   Pentedrone (Wikipedia):  Pe ...,0.08271094394736847 BTC,China,Worldwide,5.00/5,
Evangitis,Drugs/RCs,1g 2-FMA,1g 2-FMA; 2-Fluoromethamphetamine,0.10415067317073172 BTC,USA,USA,5.00/5,
ChinaChem,Drugs/RCs,50g Dimethylone,CAS number: 109367-07-9 Formula: C12H15NO3 Purity(HPLC): 98.5%  bk-MDDMA (hydrochloride) is a potential psychotropic designer drug of the phenethylamine  amphetamine  and cathinone chemical class ...,1.3198246662068973 BTC,,,5.00/5,Average price may be skewed outliar > .5 BTC found
FREE,Drugs/RCs,500gr. Apvp Rock FREE SHIP WITH TRACK,This shipment is with tracking number. The shipment must be signed to receive it. In case that the track is stuck I offer 50% reship.,4.231380925454547 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
EverythingOnIt,Drugs/RCs,500g Ethylphenidate 99% Pure,500g of 99% Pure Ethylphenidate  FE Free express shipping Available  Tracking Number will be provided for either options  It takes 5-10 working days to most of countries  Picture can be arran ...,4.651635754318183 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
FREE,Drugs/RCs,50gr.5-APB FREE SHIP WITH TRACK,This shipment is with tracking number. The shipment must be signed to receive it. In case that the track is stuck I offer 50% reship.,1.843409557142857 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
Nebulin,Drugs/RCs,5x AL-LAD 150µg,This listing is for 5x AL-LAD 150µg.  ============================================================ Chemical Name: AL-LAD Systematic IUPAC Name: (8β)-N N-Diethyl-6-(prop-2-en-1-yl)-9 10-didehydroe ...,0.1739964585714286 BTC,Australia,Australia,5.00/5,
FREE,Drugs/RCs,100gr. MDPPP FREE SHIP WITH TRACK,This shipment is with tracking number. The shipment must be signed to receive it. In case that the track is stuck I offer 50% reship.,2.2042430987500006 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
ChinaChem,Drugs/RCs,custom 2000g Ethylone E1,*custom Listing*  WE HAVE 2 KINDS OF ETHYLONE. PLEASE CHOOSE ONE: https://www.anonimg.com/img/1f2a6149c563843d11e77421f9b75bfd.png  FULL ESCROW RESHIP POLICY ON OUR PROFILE PAGE!  Product info ...,16.875145089523816 BTC,China,Worldwide,5.00/5,Average price may be skewed outliar > .5 BTC found
EverythingOnIt,Drugs/RCs,100g 4-FA,100g of 4-FA  FE Free express shipping  Tracking Number will be provided  It takes 5-10 working days to most of countries  Picture can be arranged via pgp message  Our quality is superb and ...,1.0978877081250003 BTC,China,,5.00/5,
Evangitis,Drugs/RCs,1g 4-FA,1g 4-FA; 4-Fluoroamphetamine,0.09258221549019609 BTC,USA,USA,5.00/5,
PsiloManufacture,Drugs/RCs,1g TOP QUALITY 3mmc 3-MMC  Metaphedron successor 4MMC clean high! FREE SHIPPING CHEAP SAMPLE,Hi guys   I offer 1 gram 3MMC crystal.  FREE SHIPPING & CHEAP SAMPLE  ONLY  0 017200  it is only 10 bucks  3MMC is the successor of mephedrone   Very strong and fresh batch. Gives a real c ...,0.0172 BTC,EU,Worldwide,4.85/5,
ChinaChem,Drugs/RCs,250g a-php (PV7) (apvp related),“alpha-PHP is a stimulant similar in dosing and effects to MDPV and alpha-PVP  I had already a pleasure to try this a couple of times … I found it a bit stronger than alpha-PVP but with less side eff ...,3.609454907 BTC,,,5.00/5,Average price may be skewed outliar > .5 BTC found
NoQuarter,Drugs/RCs,1g 4-FA Pure Product,<><><><><><><><><><><><><><><><><><><><><><><><><><>  From the shore to your door. Bad Ass 4-FA.  For those unfamiliar and looking for an mdma/m1 alternative  give 4fa a try. A stimulant with som ...,0.05398925222222223 BTC,USA,USA,5.00/5,
FREE,Drugs/RCs,100gr.5-APB FREE SHIP WITH TRACK,This shipment is with tracking number. The shipment must be signed to receive it. In case that the track is stuck I offer 50% reship.,2.93547289 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
geoffreygiraffe,Drugs/RCs,14 Grams Pure MDPV Powder,Hello there  Ladies and Gentlemen.  I’m Geoffrey Giraffe  and I am here to provide top quality products for reasonable prices.  I believe in honest representations of my products as well as chemical  ...,0.9246518219230772 BTC,USA Canada  W. Europe,USA  Canada  W. Europe,5.000/5,Average price may be skewed outliar > .5 BTC found
EverythingOnIt,Drugs/RCs,250g Ethylphenidate 99% Pure,250g of 99% Pure Ethylphenidate  FE Free express shipping Available  Tracking Number will be provided for either options  It takes 5-10 working days to most of countries  Picture can be arran ...,3.1080237681818175 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
canadasunshine,Drugs/RCs,Oxiracetam - 10 grams,10 grams  Nootropic. 1 gram shipped worldwide Available Aug 23 - 100 grams for sale. buy 2 of this listing to get 22.5 grams buy 3 of this listing to get 35 grams buy 4 of this listing to get 4 ...,0.06438486447154478 BTC,Canada,,4.96/5,
ChinaChem,Drugs/RCs,1000g AB-FUBINACA,Product information AB-FUBINACA:  CAS number: 1185282-01-2  Formula: C20H21FN4O2  Purity(HPLC): 99.5%  Characteristics: White powder  For more information's about our reship policy  please  ...,5.248798024444444 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
onelove321,Drugs/RCs,1 Gram A-PVP Powder,having trouble loading our pics  PURE A-PVP Powder    NO CUTS WHAT SO EVER      a-PVP can be administered orally  sublingually  rectally  intravenously  intramuscularly  insufflated  and ...,0.06037922909090909 BTC,USA,USA,4.92/5,
stiffstyles,Drugs/RCs,4-cmc 200g,sent direct from manufacturer in Asia  no Australian orders please Latest and greatest mdma analogue,2.8893233655555557 BTC,World,,4.92/5,
FREE,Drugs/RCs,1kg. Apvp Rock FREE SHIP WITH TRACK,This shipment is with tracking number. The shipment must be signed to receive it. In case that the track is stuck I offer 50% reship.,7.463235881463415 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
Fappy,Drugs/RCs,50 x 4-AcO-DMT Capsules 20mg,50 x 4-AcO-DMT Capsules 20mg Fumarate  Excellent 4-AcO-DMT 99%+ pure  straight from the lab  For experienced users only  please do your own research and use diligently.  Duration: 6-8 hrs  Or ...,0.7286943429411763 BTC,Canada USA  UK  EU,Canada  USA  UK  EU,4.96/5,
FREE,Drugs/RCs,20gr. Apvp Rock FREE SHIP WITH TRACK,This shipment is with tracking number. The shipment must be signed to receive it. In case that the track is stuck I offer 50% reship.,0.7476877460869567 BTC,China,,5.00/5,
PsiloManufacture,Drugs/RCs,5g TOP QUALITY 3mmc 3-MMC  Metaphedron 3 MMC,Hi guys I'm new here but I can assure you that my services are at the highest level. My products as well.  I offer 5 gram 3MMC crystal. Very strong and fresh batch. Gives a real clean nice euphor ...,0.3139457448780489 BTC,EU,Worldwide,4.85/5,
FREE,Drugs/RCs,20gr. AH-7921 FREE SHIP WITH TRACK,This shipment is with tracking number. The shipment must be signed to receive it. In case that the track is stuck I offer 50% reship.,1.5474048774285711 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
geoffreygiraffe,Drugs/RCs,7 Grams Pure MDPV Powder,Hello there  Ladies and Gentlemen.  I’m Geoffrey Giraffe  and I am here to provide top quality products for reasonable prices.  I believe in honest representations of my products as well as chemical  ...,0.5081721695999998 BTC,USA Canada  W. Europe,USA  Canada  W. Europe,5.000/5,
mssource,Drugs/RCs,ETHYLPHENIDATE...!! 1 KG,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  Ethylphenidate EP   Quanty:: 1 Kg   Purity:: 99 8% Big Chrystals *  ...,9.408265759696969 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
mssource,Drugs/RCs,PENTYLONE...!! 10 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  Pentylone   Quanty:: 10 gram   Purity:: 99 8% Powder * High Definat ...,0.37034856961538465 BTC,World,WORLDWIDE,4.95/5,
mssource,Drugs/RCs,4-FMA...!! 500 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  4-FMA    Quanty:: 500 gram   Purity:: 99 8% Powder *High Definition ...,5.13354144 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
mssource,Drugs/RCs,PENTEDRONE...!! 100 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  Pentedrone   Quanty:: 100 gram   Purity:: 99 8% Powder/Chrystaline  ...,1.732968022580645 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
mssource,Drugs/RCs,MDPV...!! 50 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  MDPV   Quanty:: 50 gram   Purity:: 99 8% Powder *High Definition   ...,1.3963769020512822 BTC,World,WORLDWIDE,4.95/5,
nanosuit1,Drugs/RCs,2.5g 4-mec 4mec similar to mephedrone (2.5 grams - 2500mg),This listing is for 2.5g badass quality 4-mec!  Comes straight from the chemist  golden quality! Good looking crystals! Good replacement for mephedrone - meow - mcat!  Item shipped stealth.  S ...,0.07942046449999998 BTC,EU,WorldWide,1~2 deals,
mssource,Drugs/RCs,3-MMC...!! 200 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  3-MMC aka Ephedrone  (NOTE: We also have 2-MMC  4-MMC and N-MMC in stock! ...,4.227155172777778 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
mssource,Drugs/RCs,4-MMC...!! 100 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  4-MMC aka Drone  (NOTE: We also have 2-MMC and 3-MMC in stock!)   Quan ...,2.5479872122500002 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
mssource,Drugs/RCs,PENTEDRONE...!! 50 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  Pentedrone   Quanty:: 50 gram   Purity:: 99 8% Powder/Chrystaline * ...,1.2879436413333336 BTC,World,WORLDWIDE,4.95/5,
mssource,Drugs/RCs,BUPHEDRONE...!! 500 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  Buphedrone   Quanty:: 500 gram   Purity:: 99 8% Powder *High Defini ...,5.366514734000001 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
mssource,Drugs/RCs,3-MMC...!! 1 KG,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  3-MMC aka Ephedrone  (NOTE: We also have 2-MMC  4-MMC and N-MMC in stock! ...,9.226148788108107 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
FREE,Drugs/RCs,20gr. 6-MAPB FREE SHIP WITH TRACK,This shipment is with tracking number. The shipment must be signed to receive it. In case that the track is stuck I offer 50% reship.,1.3114611128947369 BTC,China,,5.00/5,
mssource,Drugs/RCs,PENTEDRONE...!! 1 KG,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  Pentedrone   Quanty:: 1 Kg   Purity:: 99 8% Powder/Chrystaline * Hi ...,6.8003968671875 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
mssource,Drugs/RCs,VEVP...!! 1 KG,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  VEVP   Quanty:: 1 Kg   Purity:: 99 8% HCL Powder *High Definition  ...,7.6419583527586195 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
geoffreygiraffe,Drugs/RCs,3.5 Grams Pure α-PVP Powder: Aus/NZ,*******PGP IS REQUIRED. FULL FIRST AND LAST NAME MUST BE PROVIDED. ANY ORDER THAT DOES NOT MEET THESE REQUIREMENTS WILL BE CANCELLED. PLEASE SEE THE BOTTOM OF MY PROFILE FOR A QUICK HOW-TO IN PGP**** ...,0.16472802095238093 BTC,USA,,5.000/5,
mssource,Drugs/RCs,2-FA...!! 1 KG,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  2-FA    Quanty:: 1 Kg  Purity:: 99 8% Powder *High Definition   C ...,7.513577487999998 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
mssource,Drugs/RCs,4-MMC...!! 500 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  4-MMC aka Drone  (NOTE: We also have 2-MMC and 3-MMC in stock!)   Quan ...,7.238748312972971 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
mssource,Drugs/RCs,4-FA...!! 20 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  4-FA    Quanty:: 20 gram   Purity:: 99 8% Powder *High Definition  ...,0.8010367438888892 BTC,World,WORLDWIDE,4.95/5,
mssource,Drugs/RCs,VEVP...!! 50 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  VEVP   Quanty:: 50 gram   Purity:: 99 8% HCL Powder *High Definitio ...,0.8485964675862067 BTC,World,WORLDWIDE,4.95/5,
mssource,Drugs/RCs,4-FA...!! 1 KG,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  4-FA    Quanty:: 1 Kg   Purity:: 99 8% Powder *High Definition    ...,7.699535119166664 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
Jack_N_Hoff,Drugs/RCs,250 grams of pure a-PVP crystals,250 grams of a-PVP CRYSTALS express shipped with tracking.  Over 99% pure.  FE is required.   I lost almost 3 million US dollars worth of bitcoins in the last two months due to the escrow system o ...,4.227565019381444 BTC,China New Zealand  Russia  Finland  Germany or the Middle East.,Worldwide except Australia  New Zealand  Russia  Finland  Germany or the Middle East.,4.94/5,Average price may be skewed outliar > .5 BTC found
Jack_N_Hoff,Drugs/RCs,100 gram sample of big pure ethylone crystals,100 gram sample of big pure ethylone (3 4-methylenedioxy-N-ethylcathinone) crystals express shipped with tracking.  Ethylone is very similar to methylone.  The crystals are large rocks and white in ...,1.8931210198190047 BTC,China New Zealand  Russia  Finland  Germany or the Middle East.,Worldwide except Australia  New Zealand  Russia  Finland  Germany or the Middle East.,4.94/5,Average price may be skewed outliar > .5 BTC found
mssource,Drugs/RCs,4-FMC...!! 100 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  4-FMC   Quanty:: 100 gram   Purity:: 99 8% Powder *High Definition  ...,1.720902815142857 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
mssource,Drugs/RCs,4-BMC...!! 200 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  4-BMC   Quanty:: 200 gram   Purity:: 99 8% Big/Smal Chrystals * Hig ...,3.8129183991176463 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
mssource,Drugs/RCs,MDPBP...!! 200 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  MDPBP   Quanty:: 200 gram   Purity:: 99 8% HCL Powder *High Definit ...,2.719150658275862 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
mssource,Drugs/RCs,BUPHEDRONE...!! 100 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  Buphedrone   Quanty:: 100 gram   Purity:: 99 8% Powder *High Defini ...,1.706365314375 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
mssource,Drugs/RCs,3-MMC...!! 20 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  3-MMC aka Ephedrone  (NOTE: We also have 2-MMC  4-MMC and N-MMC in stock! ...,0.8077139158333332 BTC,World,WORLDWIDE,4.95/5,
mssource,Drugs/RCs,4-FMA...!! 5 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  4-FMA    Quanty:: 5 gram   Purity:: 99 8% Powder *High Definition  ...,0.1709752981818182 BTC,World,WORLDWIDE,4.95/5,
mssource,Drugs/RCs,3-MMC...!! 5 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  3-MMC aka Ephedrone  (NOTE: We also have 2-MMC  4-MMC and N-MMC in stock! ...,0.2100823145 BTC,World,WORLDWIDE,4.95/5,
mssource,Drugs/RCs,2-FA...!! 5 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  2-FA    Quanty:: 5 gram  Purity:: 99 8% Powder *High Definition    ...,0.16930695777777782 BTC,World,WORLDWIDE,4.95/5,
nanosuit1,Drugs/RCs,200mg 0.2g a-PVP sample  great MDPV replacement,This listing is for 200mg (0.2g) badass quality a-PVP!  Comes straight from the chemist  best quality! Good replacement for MDPV!  Item shipped stealth.  Ships from the EU from Hungary. Shoul ...,0.026932049799999996 BTC,EU,,1~2 deals,
nanosuit1,Drugs/RCs,0.5g 4-mec 4mec similar to mephedrone (0.5 grams - 500mg),**** PROMO for the first 5 x 0 5G ORDERS! $1 total cost with shipping! **** Do not order more than 1 x 0.5G or your order will be cancelled!!! Promos are only shipped once a week! After dropped off ...,0.017071331803278685 BTC,EU,EU,1~2 deals,
loveunderwill,Drugs/RCs,Alpha-PVP✭✭✭1000 Grams✭✭✭Free Ship w/ Tracking,✭Item: Alpha-PVP   ✭Quanty: 1000 grams   ✭Purity: 99 8% HCL  ******************************************************************** ********************************************************* ...,7.573355509565216 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
FREE,Drugs/RCs,100gr. 2 FMA FREE SHIP WITH TRACK,2-Fluoromethamphetamine (2-FMA) is a stimulant drug from the amphetamine family which has rarely been found possessed as a designer drug.  This shipment is with tracking number. The shipment must b ...,2.222713225671641 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
nanosuit1,Drugs/RCs,3.5g 4-mec 4mec similar to mephedrone (3.5 grams - 3500mg),This listing is for 3.5g badass quality 4-mec!  Comes straight from the chemist  golden quality! Good looking crystals! Good replacement for mephedrone - meow - mcat!  Item shipped stealth.  S ...,0.11133681766666666 BTC,EU,WorldWide,1~2 deals,
loveunderwill,Drugs/RCs,Alpha-PVP✭✭✭250 Grams✭✭✭Free Ship w/ Tracking,✭Item: Alpha-PVP   ✭Quanty: 250 grams   ✭Purity: 99 8% HCL  ******************************************************************** ********************************************************** ...,3.288896760454546 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
loveunderwill,Drugs/RCs,Alpha-PVP✭✭✭500 Grams✭✭✭Free Ship w/ Tracking,✭Item: Alpha-PVP   ✭Quanty: 500 grams   ✭Purity: 99 8% HCL  ******************************************************************** ********************************************************** ...,5.048903672608696 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
loveunderwill,Drugs/RCs,Alpha-PVP✭✭✭100 Grams✭✭✭Free Ship w/ Tracking,✭Item: Alpha-PVP   ✭Quanty: 100 grams   ✭Purity: 99 8% HCL  ******************************************************************** ********************************************************** ...,2.0707868486363634 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
WestLovePower,Drugs/RCs,2 oz*** Ethylone,Custom Listing  Dosage 250mg - 300mg per person  Enjoy the energy boost!  If you have low ratings or are new I will require FE.  And please use PGP  I can't stress that enough.,1.2850001671428573 BTC,USA,USA,5.00/5,
alfapentedron,Drugs/RCs,PENTEDRONE new price 100 grams,PENTEDRONE  powder/crystal  FE not require in EU  not sending to australia and strange places   What is pentedrone? Pentedrone  also known as 2-(methylamino)-1-phenylpentan-1-one or α-methyla ...,1.2029803468181817 BTC,,,4.82/5,Average price may be skewed outliar > .5 BTC found
Althea,Drugs/RCs,100g - 5-Meo-MIPT,This listing is for 100 grams of 5-Meo-MIPT direct from the lab in china.  Quality is top notch. Shipping takes 1 to 3 weeks depending where you live.  FE required. Free Shipping and tracking numbe ...,1.7743639055263152 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
Someguy9191,Drugs/RCs,AB-PINACA - 1G - 99% Pure,This listing is for the cannabinoid AB-PINACA  legal in all 50 states to my knowledge and used to make incense (spice  k2  etc).  The product comes in a fine white powder  Feel free to message me ...,0.03540716607142858 BTC,USA,USA,4.79/5,
nanosuit1,Drugs/RCs,1g 4-mec 4mec similar to mephedrone (1 grams - 1000mg),This listing is for 1g badass quality 4-mec!  Comes straight from the chemist  golden quality! Good looking crystals! Good replacement for mephedrone - meow - mcat!  Item shipped stealth.  Shi ...,0.03544408619047618 BTC,EU,WorldWide,1~2 deals,
wertu,Drugs/RCs,1 g Mephedrone Flintstone Rock,Limited Quantity Famous Mephedrone Rocks Best Quality on the Dark web,0.07713321888888892 BTC,EU NZ & Russia,WW except AUS  NZ & Russia,4.54/5,
TorChem,Drugs/RCs,25x 3mg DOB Blotters,We offer self-laid DOB tabs. Each tab contains 3mg of DOB (2 5-dimethoxy-4-Bromoamphetamine) HCl.  Strong-very strong trip. Suitable for experienced users. Visuals are very pronounced  stimulation  ...,0.31857883752293575 BTC,EU,Worldwide,~5/5,
Someguy9191,Drugs/RCs,Ethylphenidate - 5G - 98% Pure,This listing is for 98% Pure Ethylphenidate.   This product comes in a white rocky powder.    For more info view this: http://en.wikipedia.org/wiki/Ethylphenidate   Feel free to message me if ...,0.23604780285714289 BTC,USA,USA,4.79/5,
MaximusDecimus,Drugs/RCs,Mephedrone Alternative | 4-MEC | 7 Grams for £50,Hello all.  This listing is for a 7 Grams of 4-MEC  the product I'm selling is uncut and of very good quality  this is what most people are selling as Mephedrone  It is of very pure quality 98&+ an ...,0.2049023118181818 BTC,UK,United Kingdom,5.00/5,
loveunderwill,Drugs/RCs,Alpha-PVP✭✭✭50 Grams✭✭✭Free Ship w/ Tracking,✭Item: Alpha-PVP   ✭Quanty: 50 grams   ✭Purity: 99 8% HCL  ******************************************************************** *********************************************************** ...,1.202119918695652 BTC,China,,~5/5,
